epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1413.45,1.13713,0.55012,1.22437,0.84156,0.76637,0.81801,0.3767,1.96164,0.97095,1.69876,0.000643101,0.000643101,0.000643101
43,1446.57,1.11006,0.53248,1.20884,0.84228,0.77522,0.82416,0.34493,2.05825,1.04251,1.75928,0.000628101,0.000628101,0.000628101
44,1479.68,1.11446,0.53752,1.2198,0.82716,0.77078,0.81853,0.35553,2.00023,1.00296,1.69659,0.000612981,0.000612981,0.000612981
45,1512.57,1.14172,0.55395,1.22649,0.86708,0.75044,0.81642,0.36444,2.04537,1.00291,1.75195,0.000597754,0.000597754,0.000597754
46,1545.81,1.10238,0.5267,1.19847,0.84192,0.77699,0.82726,0.38022,2.01933,1.01436,1.78738,0.000582435,0.000582435,0.000582435
47,1578.58,1.09583,0.51595,1.19323,0.86464,0.73805,0.80499,0.40272,1.87233,1.06258,1.65038,0.00056704,0.00056704,0.00056704
48,1612.04,1.07659,0.50212,1.17676,0.85438,0.74867,0.80924,0.35573,2.0264,1.02138,1.75365,0.000551584,0.000551584,0.000551584
49,1645.06,1.06845,0.5085,1.1776,0.8498,0.74867,0.80724,0.40124,1.82447,0.97212,1.61395,0.000536081,0.000536081,0.000536081
50,1678.09,1.05991,0.49844,1.15871,0.84831,0.7646,0.83242,0.41023,1.84947,0.92702,1.65924,0.000520548,0.000520548,0.000520548
51,1712.13,1.08579,0.51957,1.19172,0.82216,0.81005,0.84255,0.35075,2.07138,0.91157,1.80455,0.000505,0.000505,0.000505
52,1745.14,1.06126,0.49877,1.16313,0.85363,0.81547,0.85015,0.41461,1.8772,0.86405,1.64935,0.000489452,0.000489452,0.000489452
53,1779.01,1.06776,0.49014,1.17336,0.83478,0.79292,0.82251,0.3355,2.15008,0.92578,1.84905,0.000473919,0.000473919,0.000473919
54,1811.65,1.08048,0.50655,1.18005,0.86094,0.74513,0.81248,0.4289,1.79577,0.95146,1.59945,0.000458416,0.000458416,0.000458416
55,1845.65,1.05081,0.49734,1.16001,0.85428,0.74159,0.8077,0.38401,1.93089,1.1164,1.68175,0.00044296,0.00044296,0.00044296
56,1878.9,0.99632,0.47875,1.12306,0.84673,0.75398,0.8098,0.39155,1.91062,1.03385,1.70317,0.000427565,0.000427565,0.000427565
57,1911.79,1.0141,0.47523,1.13704,0.89183,0.75882,0.81946,0.40861,1.87183,1.01367,1.67169,0.000412246,0.000412246,0.000412246
58,1945.08,1.02012,0.47645,1.14135,0.84407,0.77876,0.81593,0.38868,1.9478,0.95936,1.72212,0.000397019,0.000397019,0.000397019
59,1978.34,1.0245,0.47584,1.14159,0.86343,0.78053,0.83346,0.41324,1.87887,0.91249,1.67458,0.000381899,0.000381899,0.000381899
60,2011.83,0.96365,0.45283,1.12064,0.86662,0.78938,0.84461,0.43239,1.86567,0.89188,1.64066,0.000366899,0.000366899,0.000366899
61,2045.44,0.98269,0.45915,1.12394,0.87514,0.75398,0.82882,0.42563,1.83349,0.93527,1.64921,0.000352037,0.000352037,0.000352037
62,2078.57,0.9612,0.45489,1.11365,0.86201,0.75183,0.82225,0.38271,1.95515,0.97584,1.7498,0.000337325,0.000337325,0.000337325
63,2111.7,0.93386,0.44606,1.09761,0.8684,0.80177,0.84751,0.42137,1.87939,0.94326,1.70335,0.000322778,0.000322778,0.000322778
64,2144.77,0.92995,0.44351,1.09094,0.84038,0.77168,0.81859,0.43692,1.76292,0.94089,1.62821,0.000308412,0.000308412,0.000308412
65,2178.38,0.93157,0.44618,1.10481,0.87505,0.77522,0.84451,0.44308,1.82495,0.8947,1.69831,0.000294239,0.000294239,0.000294239
66,2212.2,0.90853,0.43123,1.0821,0.87896,0.7969,0.86227,0.45994,1.75366,0.91615,1.61114,0.000280275,0.000280275,0.000280275
